task_type,id,pos0,pos1,time
A,HB9321LC,"7,3,0","3,2,2",08:00:00
A,9A76EF68,"7,3,0","3,1,0",08:00:00
A,85AMEP43,"7,3,0","3,4,0",08:00:00
D,9BD31A7U,"3,3,1","7,4,0",14:00:00
A,ZT2AK242,"7,3,0","3,3,0",08:00:00
A,V51AFNFQ,"7,3,0","3,3,1",08:00:00
A,8RFLKZQ3,"7,3,0","3,5,0",08:00:00
D,B7IHG4FH,"3,5,0","7,4,0",14:00:00
A,HYBGHNXN,"7,3,0","3,1,2",08:00:00
D,7AN3IHWJ,"3,3,0","7,4,0",14:00:00
D,HB9321LC,"3,2,2","7,4,0",14:00:00
D,SDHRB3V3,"3,2,1","7,4,0",14:00:00
A,CYSBZII2,"7,3,0","3,5,2",08:00:00
A,A8NSJ0A2,"7,3,0","3,5,1",08:00:00
A,XDXD5AJT,"7,3,0","3,1,1",08:00:00
A,0HMM2HLK,"7,3,0","3,2,0",10:00:00
D,Z12VXLD0,"3,1,2","7,4,0",14:00:00
A,LIQA6E83,"7,3,0","3,5,1",10:00:00
A,RBTL5EI3,"7,3,0","3,2,2",10:00:00
A,X2DR7T4H,"7,3,0","3,4,1",10:00:00
A,J8GP9MED,"7,3,0","3,1,1",10:00:00
D,0HMM2HLK,"3,2,0","7,4,0",14:00:00
D,XDXD5AJT,"3,1,1","7,4,0",14:00:00
A,KQGRT9SW,"7,3,0","3,4,2",10:00:00
D,9A76EF68,"3,1,0","7,4,0",14:00:00
D,8RFLKZQ3,"3,5,0","7,4,0",14:00:00
A,PWA30HT7,"7,3,0","3,6,1",10:00:00
A,ABMG3IAM,"7,3,0","3,6,1",10:00:00
D,5HS53ZIW,"3,4,1","7,4,0",17:00:00
A,7NIA2A3I,"7,3,0","3,2,1",10:00:00
A,PTBC1C4T,"7,3,0","3,6,2",10:00:00
D,BO2ALEGW,"3,6,0","7,4,0",17:00:00
D,PTBC1C4T,"3,6,2","7,4,0",17:00:00
D,WF049W0Y,"3,1,1","7,4,0",17:00:00
D,ABMG3IAM,"3,6,1","7,4,0",17:00:00
D,KQGRT9SW,"3,4,2","7,4,0",17:00:00
D,4JY2TFWP,"3,6,2","7,4,0",17:00:00
D,A8NSJ0A2,"3,5,1","7,4,0",17:00:00
D,J8GP9MED,"3,1,1","7,4,0",17:00:00
D,ONS3H7QM,"3,5,2","7,4,0",17:00:00
