time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:02:00,PO,,"(7, 3, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:03:00
2025-03-26 08:03:00,PO,,"(7, 0, 0)",0 days 00:59:00,98.33,A,2025-03-26 08:03:30
2025-03-26 08:03:30,A,VZBPOF24,"(7, 0, 0)",0 days 00:58:30,97.5,A,2025-03-26 08:04:10
2025-03-26 08:04:10,A,VZBPOF24,"(7, 2, 0)",0 days 00:57:50,96.39,A,2025-03-26 08:04:30
2025-03-26 08:04:30,A,VZBPOF24,"(6, 2, 0)",0 days 00:57:30,95.83,A,2025-03-26 08:05:10
2025-03-26 08:05:10,A,VZBPOF24,"(6, 4, 0)",0 days 00:56:50,94.72,A,2025-03-26 08:05:50
2025-03-26 08:05:50,A,VZBPOF24,"(4, 4, 0)",0 days 00:56:10,93.61,A,2025-03-26 08:06:10
2025-03-26 08:06:10,A,VZBPOF24,"(4, 4, 1)",0 days 00:55:50,93.06,A,2025-03-26 08:06:30
2025-03-26 08:06:30,A,VZBPOF24,"(3, 4, 1)",0 days 00:55:30,92.5,RC,2025-03-26 08:07:00
2025-03-26 08:07:00,RC,,"(3, 4, 1)",0 days 00:55:00,91.67,RC,2025-03-26 08:07:20
2025-03-26 08:07:20,RC,,"(4, 4, 1)",0 days 00:54:40,91.11,RC,2025-03-26 08:07:40
2025-03-26 08:07:40,RC,,"(4, 3, 1)",0 days 00:54:20,90.56,RC,2025-03-26 08:06:40
2025-03-26 08:06:40,RC,,"(7, 3, 1)",0 days 00:53:20,88.89,RC,2025-03-26 08:13:00
2025-03-26 08:13:00,RC,,"(7, 3, 0)",0 days 00:53:00,88.33,PO,2025-03-26 14:06:00
2025-03-26 14:06:00,PO,,"(7, 3, 0)",0 days 00:48:00,80.0,PO,2025-03-26 14:06:20
2025-03-26 14:06:20,PO,,"(7, 2, 0)",0 days 00:47:40,79.44,PO,2025-03-26 14:07:20
2025-03-26 14:07:20,PO,,"(4, 2, 0)",0 days 00:46:40,77.78,PO,2025-03-26 14:07:40
2025-03-26 14:07:40,PO,,"(4, 2, 1)",0 days 00:46:20,77.22,PO,2025-03-26 14:08:00
2025-03-26 14:08:00,PO,,"(3, 2, 1)",0 days 00:46:00,76.67,D,2025-03-26 14:08:30
2025-03-26 14:08:30,D,BU9JQBPB,"(3, 2, 1)",0 days 00:45:30,75.83,D,2025-03-26 14:08:50
2025-03-26 14:08:50,D,BU9JQBPB,"(4, 2, 1)",0 days 00:45:10,75.28,D,2025-03-26 14:10:30
2025-03-26 14:10:30,D,BU9JQBPB,"(4, 7, 1)",0 days 00:43:30,72.5,D,2025-03-26 14:11:30
2025-03-26 14:11:30,D,BU9JQBPB,"(7, 7, 1)",0 days 00:42:30,70.83,D,2025-03-26 14:11:50
2025-03-26 14:11:50,D,BU9JQBPB,"(7, 7, 0)",0 days 00:42:10,70.28,RC,2025-03-26 14:14:20
2025-03-26 14:14:20,RC,,"(7, 7, 0)",0 days 00:41:40,69.44,RC,2025-03-26 14:11:40
2025-03-26 14:11:40,RC,,"(7, 3, 0)",0 days 00:40:20,67.22,PO,2025-03-26 14:17:20
2025-03-26 14:17:20,PO,,"(7, 3, 0)",0 days 00:40:20,67.22,PO,2025-03-26 14:18:20
2025-03-26 14:18:20,PO,,"(4, 3, 0)",0 days 00:39:20,65.56,PO,2025-03-26 14:18:40
2025-03-26 14:18:40,PO,,"(4, 3, 1)",0 days 00:39:00,65.0,PO,2025-03-26 14:19:00
2025-03-26 14:19:00,PO,,"(3, 3, 1)",0 days 00:38:40,64.44,D,2025-03-26 14:19:30
2025-03-26 14:19:30,D,ZQ3VV7P2,"(3, 3, 1)",0 days 00:38:10,63.61,D,2025-03-26 14:19:50
2025-03-26 14:19:50,D,ZQ3VV7P2,"(4, 3, 1)",0 days 00:37:50,63.06,D,2025-03-26 14:21:10
2025-03-26 14:21:10,D,ZQ3VV7P2,"(4, 7, 1)",0 days 00:36:30,60.83,D,2025-03-26 14:22:10
2025-03-26 14:22:10,D,ZQ3VV7P2,"(7, 7, 1)",0 days 00:35:30,59.17,D,2025-03-26 14:22:30
2025-03-26 14:22:30,D,ZQ3VV7P2,"(7, 7, 0)",0 days 00:35:10,58.61,RC,2025-03-26 14:23:00
2025-03-26 14:23:00,RC,,"(7, 7, 0)",0 days 00:34:40,57.78,RC,2025-03-26 14:20:20
2025-03-26 14:20:20,RC,,"(7, 3, 0)",0 days 00:33:20,55.56,,
